"Timestamp","Do you play video games?","Are you from Chennai or ever resided in Chennai?","Do you like playing Video Games?","How corona impacted playing video games?","1. Gender","2. Age","3. How many days do you play games per week?","4. On an average, how many hours do you play per day?","5. What is genre you prefer for gaming?","6. What game-mode do you prefer?","7. What sort of game would you like to go for?","8. How much will you spend on gaming devices? ","9. On an average, how much will you spend for computer games per month?","10. Why do you play games?","11. Which device you usually use for gaming","12. If you are a PC/Laptop gamer, which PC game store would you prefer?","13. What CPU (Microprocessor) series would you prefer for PC/Laptop gaming?","14. What GPU series would you prefer for PC/Laptop gaming?","15. If you are a Playstation gamer, what device you are currently using?","16. If you are a Xbox gamer, what device you are currently using?","17. If you are a Mobile gamer, what OS would you prefer to play games?","18. Amongst some of top rated mobile games, rate them in order of time played? [BGMI]","18. Amongst some of top rated mobile games, rate them in order of time played? [Call of Duty: Mobile]","18. Amongst some of top rated mobile games, rate them in order of time played? [Clash of Clans]","18. Amongst some of top rated mobile games, rate them in order of time played? [Among Us]","18. Amongst some of top rated mobile games, rate them in order of time played? [Fortnite]","18. Amongst some of top rated mobile games, rate them in order of time played? [Asphalt 9: Airborne]","18. Amongst some of top rated mobile games, rate them in order of time played? [Ludo King]","18. Amongst some of top rated mobile games, rate them in order of time played? [Carrom Pool]","19. Are you a Game developer (or aspiring to be one)","20. On a scale of 1-10 how much are u open to recommend gaming to a friend","21. Are you open to gaming as a career? Why so?"
"2021/08/07 9:26:50 PM GMT+5:30","No","No","No","Still not interested in gaming","Female","18-25","0","Less than 2 hours","Sports game","Offline gaming","Free game","<₹25000","<₹100","Entertainment","Laptop","I'm not a PC Gamer","I'm not a PC gamer","I'm not a PC gamer","I'm not a Playstation gamer","I'm not a Xbox gamer","I'm not a mobile gamer","4","3","5","5","3","3","5","3","No","2","Nil"
"2021/08/07 9:28:09 PM GMT+5:30","No","Yes","Yes","Still not interested in gaming","Female","18-25","1-3 days","Less than 2 hours","Racing game;Board game;Puzzle game","Offline gaming","Free game","<₹25000","<₹100","Entertainment","Mobile","I'm not a PC Gamer","I'm not a PC gamer","I'm not a PC gamer","I'm not a Playstation gamer","I'm not a Xbox gamer","iOS","3","3","3","2","2","3","4","4","No","6","No as not much interested"
"2021/08/07 9:28:43 PM GMT+5:30","No","Yes","Yes","Still not interested in gaming","Female","18-25","0","Less than 2 hours","Board game","Online gaming","Free game","<₹25000","<₹100","Stress-buster","Mobile","I'm not a PC Gamer","I'm not a PC gamer","I'm not a PC gamer","I'm not a Playstation gamer","I'm not a Xbox gamer","Android","1","1","1","5","1","1","5","1","No","6","No"
"2021/08/07 9:28:44 PM GMT+5:30","No","Yes","No","Still not interested in gaming","Female","18-25","0","Less than 2 hours","Puzzle game","Offline gaming","Free game","<₹25000","<₹100","Stress-buster","Mobile","I'm not a PC Gamer","I don't know anything about Microprocessors for gaming purposes","I don't know anything about GPUs for gaming purposes","I'm not a Playstation gamer","I'm not a Xbox gamer","I'm not a mobile gamer","1","1","1","1","1","1","1","1","No","1","No...I am not interested in games"
"2021/08/07 9:28:56 PM GMT+5:30","No","Yes","No","Still not interested in gaming","Female","18-25","0","Less than 2 hours","I dont play video games","Offline gaming","Free game","<₹25000","<₹100","Entertainment","Laptop","I'm not a PC Gamer","I'm not a PC gamer","I'm not a PC gamer","I'm not a Playstation gamer","I'm not a Xbox gamer","I'm not a mobile gamer","5","5","5","5","5","5","5","5","No","1","No"
"2021/08/07 9:29:33 PM GMT+5:30","Yes","No","Yes","Started playing more games","Female","18-25","1-3 days","2-6 hours","Board game;Puzzle game;Role-playing game","Offline gaming","Free game","<₹25000","₹100-₹1000","Stress-buster","Mobile","I'm not a PC Gamer","I don't know anything about Microprocessors for gaming purposes","I don't know anything about GPUs for gaming purposes","I'm not a Playstation gamer","I'm not a Xbox gamer","Android","4","4","4","4","4","4","2","3","No","9","No "
"2021/08/07 9:29:53 PM GMT+5:30","No","No","Maybe","Started playing more games","Female","18-25","1-3 days","Less than 2 hours","Puzzle game","Offline gaming","Free game","<₹25000","<₹100","Entertainment","Mobile","I'm not a PC Gamer","I'm not a PC gamer","I'm not a PC gamer","I'm not a Playstation gamer","I'm not a Xbox gamer","Android","1","1","1","1","1","1","4","1","No","5","I am not open to gaming as a career"
"2021/08/07 9:29:57 PM GMT+5:30","No","Yes","No","Still not interested in gaming","Female","18-25","0","Less than 2 hours","Puzzle game","Offline gaming","Free game","₹50000-₹75000","<₹100","Stress-buster","Mobile","I'm not a PC Gamer","I don't know anything about Microprocessors for gaming purposes","I don't know anything about GPUs for gaming purposes","I'm not a Playstation gamer","I'm not a Xbox gamer","Android","1","2","2","5","1","1","5","5","No","1","No"
"2021/08/07 9:31:05 PM GMT+5:30","Yes","No","Maybe","Still not interested in gaming","Female","18-25","1-3 days","Less than 2 hours","Racing game;Puzzle game","Offline gaming","Free game","<₹25000","<₹100","Entertainment","Mobile","I'm not a PC Gamer","I don't know anything about Microprocessors for gaming purposes","I don't know anything about GPUs for gaming purposes","I'm not a Playstation gamer","I'm not a Xbox gamer","Android","1","1","2","1","1","1","1","1","No","4","No, only for entertainment "
"2021/08/07 9:31:07 PM GMT+5:30","Yes","Yes","Yes","Corona didn't impact my gaming as I already am an hardcore gamer","Male","18-25","4-5 days","Less than 2 hours","Action game;Role-playing game","Offline gaming","Paid game","₹50000-₹75000","₹100-₹1000","Stress-buster","PC","Steam","AMD Ryzen Series","Nvidia GPUs","I'm not a Playstation gamer","I'm not a Xbox gamer","Android","5","4","2","1","1","1","2","1","Yes","9","I not that good to take it as a career but I enjoy playing them so I love to do it"
